"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
70,"20200630 P1",1.7991,1.2227,"DMSO",0.41
71,"20200122 P1",-0.3058,-0.2695,"DMSO",0
71,"20200122 P1",-0.3058,-0.2695,"PTx",0
71,"20200122 P1",-0.3058,-0.2695,"YM",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"DMSO",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"YM",0
72,"20200630 P1",0.6637,0.6683,"DMSO",0.41
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"DMSO",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"YM",0
73,"20200630 P1",-0.0112000000000003,0.4728,"DMSO",0.41
76,"20200122 P1",-0.1641,-0.354,"DMSO",0
76,"20200122 P1",-0.1641,-0.354,"PTx",0
76,"20200122 P1",-0.1641,-0.354,"YM",0
78,"20200122 P1",-0.1552,-0.2954,"DMSO",0
78,"20200122 P1",-0.1552,-0.2954,"PTx",0
78,"20200122 P1",-0.1552,-0.2954,"YM",0
78,"20200630 P1",-0.440400000000001,-0.2707,"DMSO",0.41
80,"20200122 P1",0.2689,0.4525,"DMSO",0
80,"20200122 P1",0.2689,0.4525,"PTx",0
80,"20200122 P1",0.2689,0.4525,"YM",0
80,"20200630 P1",-0.1475,-0.2407,"DMSO",0.41
81,"20200122 P1",0.00610000000000016,-0.2906,"DMSO",0
81,"20200122 P1",0.00610000000000016,-0.2906,"PTx",0
81,"20200122 P1",0.00610000000000016,-0.2906,"YM",0
83,"20200630 P1",0.2486,0.1944,"DMSO",0.41
84,"20200122 P1",0.2184,0.2419,"DMSO",0
84,"20200122 P1",0.2184,0.2419,"PTx",0
84,"20200122 P1",0.2184,0.2419,"YM",0
84,"20200630 P1",0.6107,1.3661,"DMSO",0.41
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"DMSO",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"PTx",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"YM",0
86,"20200122 P1",0.1914,0.4121,"DMSO",0
86,"20200122 P1",0.1914,0.4121,"PTx",0
86,"20200122 P1",0.1914,0.4121,"YM",0
86,"20200630 P1",0.6296,0.283,"DMSO",0.41
87,"20200630 P1",0.7302,0.861900000000001,"DMSO",0.41
89,"20200122 P1",0.0134,0.4622,"DMSO",0
89,"20200122 P1",0.0134,0.4622,"PTx",0
89,"20200122 P1",0.0134,0.4622,"YM",0
91,"20200630 P1",0.2295,0.4963,"DMSO",0.41
92,"20200630 P1",0.1192,0.1054,"DMSO",0.41
93,"20200122 P1",0.1371,0.00519999999999932,"DMSO",0
93,"20200122 P1",0.1371,0.00519999999999932,"PTx",0
