"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
60,"20200122 P1",-0.0906000000000002,-0.1654,"PTx",0
60,"20200122 P1",-0.0906000000000002,-0.1654,"YM",0
60,"20200122 P1",-0.0906000000000002,-0.1654,"ymptx",0
61,"20200603 P1",0.4743,4.0778,"DMSO",1300
62,"20200122 P1",-0.6071,-0.863900000000001,"DMSO",0
62,"20200122 P1",-0.6071,-0.863900000000001,"PTx",0
62,"20200122 P1",-0.6071,-0.863900000000001,"YM",0
62,"20200122 P1",-0.6071,-0.863900000000001,"ymptx",0
62,"20200603 P1",0.123,3.6458,"DMSO",1300
63,"20200603 P1",0.1957,5.2157,"DMSO",1300
64,"20200122 P1",0.0603999999999996,0.2246,"DMSO",0
64,"20200122 P1",0.0603999999999996,0.2246,"PTx",0
64,"20200122 P1",0.0603999999999996,0.2246,"YM",0
64,"20200122 P1",0.0603999999999996,0.2246,"ymptx",0
65,"20200603 P1",0.2879,3.8493,"DMSO",1300
66,"20200122 P1",-0.0560999999999995,-0.1258,"DMSO",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"PTx",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"YM",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"ymptx",0
66,"20200603 P1",-0.3905,2.9876,"DMSO",1300
67,"20200603 P1",1.1498,3.417,"DMSO",1300
68,"20200122 P1",0.1073,0.0131000000000001,"DMSO",0
68,"20200122 P1",0.1073,0.0131000000000001,"PTx",0
68,"20200122 P1",0.1073,0.0131000000000001,"YM",0
68,"20200122 P1",0.1073,0.0131000000000001,"ymptx",0
69,"20200122 P1",-0.1862,-0.0107,"DMSO",0
69,"20200122 P1",-0.1862,-0.0107,"PTx",0
69,"20200122 P1",-0.1862,-0.0107,"YM",0
69,"20200122 P1",-0.1862,-0.0107,"ymptx",0
69,"20200603 P1",0.0495999999999999,4.0743,"DMSO",1300
70,"20200122 P1",0.1593,0.4318,"DMSO",0
70,"20200122 P1",0.1593,0.4318,"PTx",0
70,"20200122 P1",0.1593,0.4318,"YM",0
70,"20200122 P1",0.1593,0.4318,"ymptx",0
70,"20200603 P1",-0.1312,4.2567,"DMSO",1300
71,"20200122 P1",-0.3058,-0.2695,"DMSO",0
71,"20200122 P1",-0.3058,-0.2695,"PTx",0
71,"20200122 P1",-0.3058,-0.2695,"YM",0
71,"20200122 P1",-0.3058,-0.2695,"ymptx",0
71,"20200603 P1",0.7682,4.255,"DMSO",1300
72,"20200122 P1",-0.0525000000000002,-0.2971,"DMSO",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"YM",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"ymptx",0
72,"20200603 P1",-0.1769,3.0307,"DMSO",1300
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"DMSO",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"YM",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"ymptx",0
74,"20200603 P1",1.1935,4.7032,"DMSO",1300
75,"20200603 P1",-0.1205,4.1473,"DMSO",1300
76,"20200122 P1",-0.1641,-0.354,"DMSO",0
76,"20200122 P1",-0.1641,-0.354,"PTx",0
76,"20200122 P1",-0.1641,-0.354,"YM",0
76,"20200122 P1",-0.1641,-0.354,"ymptx",0
76,"20200603 P1",-0.19,3.3901,"DMSO",1300
78,"20200122 P1",-0.1552,-0.2954,"DMSO",0
78,"20200122 P1",-0.1552,-0.2954,"PTx",0
78,"20200122 P1",-0.1552,-0.2954,"YM",0
78,"20200122 P1",-0.1552,-0.2954,"ymptx",0
78,"20200603 P1",0.7309,4.4861,"DMSO",1300
79,"20200603 P1",0.297500000000001,6.1943,"DMSO",1300
80,"20200122 P1",0.2689,0.4525,"DMSO",0
80,"20200122 P1",0.2689,0.4525,"PTx",0
80,"20200122 P1",0.2689,0.4525,"YM",0
80,"20200122 P1",0.2689,0.4525,"ymptx",0
80,"20200603 P1",0.1373,4.9798,"DMSO",1300
81,"20200122 P1",0.00610000000000016,-0.2906,"DMSO",0
81,"20200122 P1",0.00610000000000016,-0.2906,"PTx",0
81,"20200122 P1",0.00610000000000016,-0.2906,"YM",0
81,"20200122 P1",0.00610000000000016,-0.2906,"ymptx",0
81,"20200603 P1",0.5887,7.4924,"DMSO",1300
83,"20200603 P1",0.0246999999999998,3.8062,"DMSO",1300
84,"20200122 P1",0.2184,0.2419,"DMSO",0
84,"20200122 P1",0.2184,0.2419,"PTx",0
84,"20200122 P1",0.2184,0.2419,"YM",0
84,"20200122 P1",0.2184,0.2419,"ymptx",0
84,"20200603 P1",0.4367,4.1957,"DMSO",1300
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"DMSO",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"PTx",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"YM",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"ymptx",0
86,"20200122 P1",0.1914,0.4121,"DMSO",0
86,"20200122 P1",0.1914,0.4121,"PTx",0
86,"20200122 P1",0.1914,0.4121,"YM",0
86,"20200122 P1",0.1914,0.4121,"ymptx",0
86,"20200603 P1",0.0151999999999998,3.5212,"DMSO",1300
88,"20200603 P1",-0.4233,2.8914,"DMSO",1300
89,"20200122 P1",0.0134,0.4622,"DMSO",0
89,"20200122 P1",0.0134,0.4622,"PTx",0
89,"20200122 P1",0.0134,0.4622,"YM",0
89,"20200122 P1",0.0134,0.4622,"ymptx",0
89,"20200603 P1",0.9572,6.0975,"DMSO",1300
90,"20200603 P1",-0.4128,3.6862,"DMSO",1300
91,"20200603 P1",1.1151,5.1037,"DMSO",1300
92,"20200603 P1",0.458800000000001,3.545,"DMSO",1300
93,"20200122 P1",0.1371,0.00519999999999932,"DMSO",0
