"clu_A","clu_E","Cluster","cond_inh","Unique_Unique_Object"
2,7,"2_7","0.41 UK DMSO","0.41 UK DMSO_100"
2,2,"2_2","1300.0 S1P DMSO","1300.0 S1P DMSO_100"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10005"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10006"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10007"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10007"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10008"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10010"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10011"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10013"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10014"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10015"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10016"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10017"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10018"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10018"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10019"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10021"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10022"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10023"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10024"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10024"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10025"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10025"
1,8,"1_8","3.7 UK DMSO","3.7 UK DMSO_10026"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10026"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10027"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10028"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10029"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10030"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10031"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10032"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10033"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10034"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10036"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10037"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10038"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10039"
3,2,"3_2","3.7 UK DMSO","3.7 UK DMSO_10040"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10042"
3,4,"3_4","650.0 S1P DMSO","650.0 S1P DMSO_10042"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10043"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10044"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10044"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10046"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10047"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10048"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10048"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10049"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10049"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10051"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10053"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10053"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10055"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10056"
1,4,"1_4","3.7 UK DMSO","3.7 UK DMSO_10057"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10057"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10058"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10059"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10061"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10062"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10063"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10064"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10065"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10066"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10068"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10069"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10070"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10070"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10072"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10073"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10074"
1,8,"1_8","3.7 UK DMSO","3.7 UK DMSO_10076"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10076"
2,8,"2_8","650.0 S1P DMSO","650.0 S1P DMSO_10077"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10078"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10079"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10080"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10081"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10081"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10083"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10084"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10084"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10085"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10087"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10087"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10090"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10090"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10091"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10093"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10093"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10095"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10099"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10100"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10100"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10102"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10103"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10104"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10104"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10107"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10108"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10109"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10111"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10111"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10112"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10114"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10114"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10115"
3,4,"3_4","650.0 S1P DMSO","650.0 S1P DMSO_10115"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10117"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10118"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10120"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10122"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10122"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10123"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10123"
3,4,"3_4","650.0 S1P DMSO","650.0 S1P DMSO_10124"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10125"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10126"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10127"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10128"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10129"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10134"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10135"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10138"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10140"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10141"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10142"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10143"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10144"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10145"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10145"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10146"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10147"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10147"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10149"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10150"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10150"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10151"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10151"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10152"
1,5,"1_5","3.7 UK DMSO","3.7 UK DMSO_10153"
3,8,"3_8","650.0 S1P DMSO","650.0 S1P DMSO_10153"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10155"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10157"
1,6,"1_6","650.0 S1P DMSO","650.0 S1P DMSO_10157"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10158"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10159"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10160"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10161"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10162"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10163"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10164"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10165"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10165"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10168"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10169"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10170"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10170"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10171"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10173"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10174"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10175"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10176"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10179"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10179"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10180"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10181"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10182"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10182"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10184"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10185"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10185"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10187"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10188"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10189"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10190"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10191"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10191"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10192"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10193"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10194"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10195"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10195"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10196"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10196"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10197"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10197"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10199"
3,7,"3_7","0.0 DMSO","0.0 DMSO_102"
3,7,"3_7","0.41 UK DMSO","0.41 UK DMSO_102"
3,5,"3_5","1300.0 S1P DMSO","1300.0 S1P DMSO_102"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10200"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10200"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10201"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10202"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10202"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10203"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10203"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10205"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10206"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10207"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10208"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10208"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10210"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10210"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10211"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10211"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10214"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10216"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10218"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10218"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10219"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10219"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10220"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10221"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10221"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10222"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10222"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10223"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10224"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10225"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10225"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10227"
3,4,"3_4","650.0 S1P DMSO","650.0 S1P DMSO_10227"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10228"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10228"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10230"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10230"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10231"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10231"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10232"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10233"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10235"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10237"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10238"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10239"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10239"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10240"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10241"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10242"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10243"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10246"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10248"
3,5,"3_5","650.0 S1P DMSO","650.0 S1P DMSO_10248"
1,5,"1_5","3.7 UK DMSO","3.7 UK DMSO_10249"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10249"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10250"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10251"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10256"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10256"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10257"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10258"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10259"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10260"
2,6,"2_6","3.7 UK DMSO","3.7 UK DMSO_10262"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10262"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10264"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10268"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10269"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10269"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10270"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10271"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10272"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10273"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10276"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10276"
2,2,"2_2","3.7 UK DMSO","3.7 UK DMSO_10278"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10279"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10279"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10281"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10281"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10282"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10282"
1,8,"1_8","3.7 UK DMSO","3.7 UK DMSO_10285"
3,6,"3_6","3.7 UK DMSO","3.7 UK DMSO_10286"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10286"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10287"
3,8,"3_8","650.0 S1P DMSO","650.0 S1P DMSO_10287"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10288"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10289"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10289"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10290"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10290"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10291"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10291"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10293"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10294"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10295"
3,6,"3_6","3.7 UK DMSO","3.7 UK DMSO_10297"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10298"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10299"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10299"
2,7,"2_7","0.41 UK DMSO","0.41 UK DMSO_103"
3,2,"3_2","1300.0 S1P DMSO","1300.0 S1P DMSO_103"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10300"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10300"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10306"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10307"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10308"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10309"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10312"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10312"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10314"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10314"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10315"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10315"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10316"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10316"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10317"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10318"
3,2,"3_2","650.0 S1P DMSO","650.0 S1P DMSO_10320"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10322"
1,6,"1_6","3.7 UK DMSO","3.7 UK DMSO_10323"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10323"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10324"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10328"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10330"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10330"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10332"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10334"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10334"
3,1,"3_1","650.0 S1P DMSO","650.0 S1P DMSO_10335"
3,8,"3_8","650.0 S1P DMSO","650.0 S1P DMSO_10338"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10339"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10340"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10341"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10342"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10345"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10346"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10349"
1,3,"1_3","3.7 UK DMSO","3.7 UK DMSO_10350"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10352"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10353"
2,2,"2_2","650.0 S1P DMSO","650.0 S1P DMSO_10353"
3,8,"3_8","650.0 S1P DMSO","650.0 S1P DMSO_10354"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10356"
1,2,"1_2","3.7 UK DMSO","3.7 UK DMSO_10357"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10358"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10360"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10361"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10362"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10362"
2,5,"2_5","3.7 UK DMSO","3.7 UK DMSO_10363"
3,6,"3_6","650.0 S1P DMSO","650.0 S1P DMSO_10363"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10365"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10366"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10368"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10369"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10371"
2,8,"2_8","650.0 S1P DMSO","650.0 S1P DMSO_10371"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10374"
1,2,"1_2","650.0 S1P DMSO","650.0 S1P DMSO_10375"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10377"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10377"
2,8,"2_8","650.0 S1P DMSO","650.0 S1P DMSO_10380"
2,1,"2_1","650.0 S1P DMSO","650.0 S1P DMSO_10383"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10385"
2,6,"2_6","650.0 S1P DMSO","650.0 S1P DMSO_10387"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10388"
1,3,"1_3","650.0 S1P DMSO","650.0 S1P DMSO_10390"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10392"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10394"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10395"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10395"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10396"
3,8,"3_8","650.0 S1P DMSO","650.0 S1P DMSO_10398"
2,2,"2_2","1300.0 S1P DMSO","1300.0 S1P DMSO_104"
2,3,"2_3","650.0 S1P DMSO","650.0 S1P DMSO_10401"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10402"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10404"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10405"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10406"
3,7,"3_7","3.7 UK DMSO","3.7 UK DMSO_10408"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10408"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10409"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10412"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10412"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10413"
1,1,"1_1","650.0 S1P DMSO","650.0 S1P DMSO_10415"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10416"
1,4,"1_4","650.0 S1P DMSO","650.0 S1P DMSO_10417"
2,4,"2_4","650.0 S1P DMSO","650.0 S1P DMSO_10419"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10420"
3,3,"3_3","650.0 S1P DMSO","650.0 S1P DMSO_10420"
2,7,"2_7","3.7 UK DMSO","3.7 UK DMSO_10424"
2,8,"2_8","3.7 UK DMSO","3.7 UK DMSO_10426"
3,8,"3_8","3.7 UK DMSO","3.7 UK DMSO_10428"
