"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
64,"20200526 P1",0.3037,-0.1615,"DMSO",0.19
66,"20200122 P1",-0.0560999999999995,-0.1258,"DMSO",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"PTx",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"YM",0
66,"20200122 P1",-0.0560999999999995,-0.1258,"ymptx",0
66,"20200526 P1",0.167000000000001,-0.0364,"DMSO",0.19
67,"20200526 P1",0.3939,0.7017,"DMSO",0.19
68,"20200122 P1",0.1073,0.0131000000000001,"DMSO",0
68,"20200122 P1",0.1073,0.0131000000000001,"PTx",0
68,"20200122 P1",0.1073,0.0131000000000001,"YM",0
68,"20200122 P1",0.1073,0.0131000000000001,"ymptx",0
68,"20200526 P1",0.3153,0.5477,"DMSO",0.19
69,"20200122 P1",-0.1862,-0.0107,"DMSO",0
69,"20200122 P1",-0.1862,-0.0107,"PTx",0
69,"20200122 P1",-0.1862,-0.0107,"YM",0
69,"20200122 P1",-0.1862,-0.0107,"ymptx",0
70,"20200122 P1",0.1593,0.4318,"DMSO",0
70,"20200122 P1",0.1593,0.4318,"PTx",0
70,"20200122 P1",0.1593,0.4318,"YM",0
70,"20200122 P1",0.1593,0.4318,"ymptx",0
71,"20200122 P1",-0.3058,-0.2695,"DMSO",0
71,"20200122 P1",-0.3058,-0.2695,"PTx",0
71,"20200122 P1",-0.3058,-0.2695,"YM",0
71,"20200122 P1",-0.3058,-0.2695,"ymptx",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"DMSO",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"YM",0
72,"20200122 P1",-0.0525000000000002,-0.2971,"ymptx",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"DMSO",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"YM",0
73,"20200122 P1",0.00879999999999942,0.0154999999999997,"ymptx",0
73,"20200526 P1",0.2333,0.1971,"DMSO",0.19
75,"20200526 P1",0.1291,0.0987000000000003,"DMSO",0.19
76,"20200122 P1",-0.1641,-0.354,"DMSO",0
76,"20200122 P1",-0.1641,-0.354,"PTx",0
